id;name;value_type;expression_type;value
1;payment Tunisian invoice;DOUBLE;COMPLEX;cross-platform District generate
2;copy;DOUBLE;COMPLEX;Forest Ergonomic Rupee
3;architecture Card;DOUBLE;COMPLEX;RAM Brook
4;Account French;INT;COMPLEX;blockchains bypass efficient
5;generating Loan;FLOAT;SIMPLE;primary JBOD
6;Haven mission-critical;FLOAT;COMPLEX;navigating Analyst
7;Technician;INT;SIMPLE;Strategist
8;Pound invoice;BOOLEAN;SIMPLE;Movies interface District
9;Inlet transmitter;BOOLEAN;SIMPLE;Loan
10;SMTP system-worthy;LONG;COMPLEX;Home bypassing
